old,new
1784894366,1753856440
1635423211,1635423201
892635403,3834942941
942699190,911668820
1066558318,4008861541
1853025527,1853021168
1508490813,1508490795
480624671,449591386
1508149166,4450456685
1066212953,4008520483
2376250234,5318553104
1354049181,1323014758
1533070916,1532729646
669632329,669632300
1908170633,4850478152
1697150877,1666116903
1498733094,1468039256
1475478010,4417781210
1035523432,1035519214
1758202752,1758202717
2120368088,5062675628
1508489389,1477455693
545501247,545501012
700834876,669463499
